"7666",313669,"34 Ann Street Dunedin","Isobel O&#39;Brien and M T O&#39;Brien Family Trusts 34 Ann Street Dunedin 9010"
"7667",313670,"37 Hereford Street Dunedin","C/O McKinnon Aitken Martin PO Box 870 Dunedin 9054"
"7668",313671,"39 Hereford Street Dunedin","Neil MacKenzie and Shannon Saies Trust 28 Oates Street Dunedin 9010"
"7669",313672,"41 Hereford Street Dunedin","41 Hereford Street Dunedin 9010"
"7670",313673,"45 Hereford Street Dunedin","45 Hereford Street Dunedin 9010"
"7671",313674,"19 Kaikorai Valley Road Dunedin","PO Box 18 Milton 9241"
"7672",313675,"23 Kaikorai Valley Road Dunedin",NA
"7673",313676,"25 Kaikorai Valley Road Dunedin","171 Dalziel Road Dunedin 9011"
"7674",313677,"27 Kaikorai Valley Road Dunedin","360 Kaikorai Valley Road Dunedin 9011"
"7675",313678,"31 Kaikorai Valley Road Dunedin",NA
"7676",313679,"35 Kaikorai Valley Road Dunedin","35 Kaikorai Valley Road Dunedin 9010"
"7677",313680,"37 Kaikorai Valley Road Dunedin","37 Kaikorai Valley Road Dunedin 9010"
"7678",313681,"2 Lismore Lane Dunedin","2 Lismore Lane Dunedin 9010"
"7679",313682,"41 Kaikorai Valley Road Dunedin","41 Kaikorai Valley Road Dunedin 9010"
"7680",313683,"19 Coleridge Street Dunedin","Penny Allison Trust 19 Coleridge Street Dunedin 9010"
"7681",313684,"17 Coleridge Street Dunedin","P A &ampA J Carter Family Trust 17 Coleridge Street Dunedin 9010"
"7682",313685,"13 Coleridge Street Dunedin","1134 Coast Road RD 1 Waikouaiti 9471"
"7683",313686,"9 Malta Street Dunedin","44A Bradford Street Dunedin 9011"
"7684",313687,"7 Malta Street Dunedin","7 Malta Street Dunedin 9010"
"7685",313688,"8A Malta Street Dunedin","183 Taieri Road Dunedin 9010"
"7686",313689,"8B Malta Street Dunedin","183 Taieri Road Dunedin 9010"
"7687",313690,"6 Malta Street Dunedin","6 Malta Street Dunedin 9010"
"7688",313691,"4 Malta Street Dunedin","4 Malta Street Dunedin 9010"
"7689",313692,"9 Coleridge Street Dunedin","9 Coleridge Street Dunedin 9010"
"7690",313693,"5 Coleridge Street Dunedin","101 Brockville Road Dunedin 9011"
"7691",313694,"56 Oates Street Dunedin","101 Brockville Road Dunedin 9011"
"7692",313695,"50 Oates Street Dunedin","50 Oates Street Dunedin 9010"
"7693",313697,"40 Oates Street Dunedin","40 Oates Street Dunedin 9010"
"7694",313698,"38 Oates Street Dunedin","26 Neidpath Road Dunedin 9011"
"7695",313699,"36 Oates Street Dunedin","C/O Aws Legal PO Box 1207 Invercargill 9840"
"7696",313700,"30 Oates Street Dunedin","PO Box 128065 Remuera Auckland 1541"
"7697",313701,"28 Oates Street Dunedin","Neil MacKenzie and Shannon Saies Trust 28 Oates Street Dunedin 9010"
"7698",313702,"4 Coleridge Street Dunedin","Meadowbank Trust 4 Coleridge Street Dunedin 9010"
"7699",313703,"8 Coleridge Street Dunedin","8 Coleridge Street Dunedin 9010"
"7700",313704,"10 Coleridge Street Dunedin","19 Craig Place Alexandra 9320"
"7701",313705,"12 Coleridge Street Dunedin","12 Coleridge Street Dunedin 9010"
"7702",313706,"14 Coleridge Street Dunedin","L A and R J Prattley Family Trust 14 Churchill Street Dunedin 9012"
"7703",313707,"16 Coleridge Street Dunedin","16 Coleridge Street Dunedin 9010"
"7704",313708,"18 Coleridge Street Dunedin","Uidhist Trust 18 Coleridge Street Dunedin 9010"
"7705",313709,"20 Coleridge Street Dunedin","20 Coleridge Street Dunedin 9010"
"7706",313710,"49 Kaikorai Valley Road Dunedin","Crispin Ranford Trust 49 Kaikorai Valley Road Dunedin 9010"
"7707",313711,"55 Kaikorai Valley Road Dunedin","55 Kaikorai Valley Road Dunedin 9010"
"7708",313712,"3 Loom Street Dunedin","3 Loom Street Dunedin 9010"
"7709",313713,"11 Loom Street Dunedin","11 Loom Street Dunedin 9010"
"7710",313714,"12 Loom Street Dunedin","30 Claremont Street Dunedin 9010"
"7711",313715,"4 Loom Street Dunedin","PO Box 2882 Wakatipu Queenstown 9349"
"7712",313716,"2 Loom Street Dunedin","2 Loom Street Dunedin 9010"
"7713",313717,"57 Kaikorai Valley Road Dunedin","99 Kaikorai Valley Road Dunedin 9011"
"7714",313718,"59 Kaikorai Valley Road Dunedin","59 Kaikorai Valley Road Dunedin 9010"
"7715",313720,"67 Kaikorai Valley Road Dunedin","67 Kaikorai Valley Road Dunedin 9010"
"7716",313722,"69 Kaikorai Valley Road Dunedin","D W and E M Falloon Family Trust 69 Kaikorai Valley Road Dunedin 9010"
"7717",313723,"71 Kaikorai Valley Road Dunedin","71 Kaikorai Valley Road Dunedin 9010"
"7718",313724,"73 Kaikorai Valley Road Dunedin","Private Bag 50047 Te Anau 9640"
"7719",313725,"75 Kaikorai Valley Road Dunedin","90 South Road Dunedin 9011"
"7720",313726,"77 Kaikorai Valley Road Dunedin",NA
"7721",313727,"79 Kaikorai Valley Road Dunedin","PO Box 48 Palmerston 9443"
"7722",313728,"81 Kaikorai Valley Road Dunedin","81 Kaikorai Valley Road Dunedin 9010"
"7723",313729,"54 Falcon Street Dunedin","54 Falcon Street Dunedin 9010"
"7724",313730,"50 Falcon Street Dunedin","93 London Street Dunedin 9016"
"7725",313731,"48 Falcon Street Dunedin","48 Falcon Street Dunedin 9010"
"7726",313732,"44 Falcon Street Dunedin","47 Camptown Road RD 1 Dobson 7872"
"7727",313733,"40 Falcon Street Dunedin","40 Falcon Street Dunedin 9010"
"7728",313734,"38 Falcon Street Dunedin","38 Falcon Street Dunedin 9010"
"7729",313735,"36 Falcon Street Dunedin","36 Falcon Street Dunedin 9010"
"7730",313736,"34 Falcon Street Dunedin","Williams Family Trust 34 Falcon Street Dunedin 9010"
"7731",313737,"32 Falcon Street Dunedin","12 Littlebourne Road Dunedin 9010"
"7732",313738,"70 Oates Street Dunedin","212 Ramrock Road RD 1 Waikouaiti 9471"
"7733",313739,"68 Oates Street Dunedin","68 Oates Street Dunedin 9010"
"7734",313740,"66 Oates Street Dunedin","62 Bayfield Road Dunedin 9013"
"7735",313741,"30 Falcon Street Dunedin","30 Falcon Street Dunedin 9010"
"7736",313742,"3 Falcon Street Dunedin","3 Falcon Street Dunedin 9010"
"7737",313743,"5 Falcon Street Dunedin","5 Falcon Street Dunedin 9010"
"7738",313744,"7 Falcon Street Dunedin","7 Falcon Street Dunedin 9010"
"7739",313745,"5 Belgrave Crescent Dunedin","5 Belgrave Crescent Dunedin 9010"
"7740",313746,"9 Belgrave Crescent Dunedin","Meka Trust 9 Belgrave Crescent Dunedin 9010"
"7741",313747,"11 Belgrave Crescent Dunedin","11 Belgrave Crescent Dunedin 9010"
"7742",313748,"12 Lundie Street Dunedin","12 Lundie Street Dunedin 9010"
"7743",313749,"10 Lundie Street Dunedin","10 Lundie Street Dunedin 9010"
"7744",313750,"8 Lundie Street Dunedin","8 Lundie Street Dunedin 9010"
"7745",313751,"127 Highgate Dunedin","127 Highgate Dunedin 9010"
"7746",313752,"131 Highgate Dunedin","PO Box 5045 Moray Place Dunedin 9058"
"7747",313753,"7 Lundie Street Dunedin","12 Blackhead Road Dunedin 9018"
"7748",313754,"9 Lundie Street Dunedin","9 Lundie Street Dunedin 9010"
"7749",313755,"11 Lundie Street Dunedin","11 Lundie Street Dunedin 9010"
"7750",313756,"15A Belgrave Crescent Dunedin","Notlimah Trust 15 Belgrave Crescent Dunedin 9010"
